main_category|sub_category|channel|description
sport|basketball|VRT 1|BASKET. BNXT LEAGUE (S.)
entertainment|humour|VRT 1|URBANUS VAN BINNEN
fiction|thriller|VTM|DEATH ON THE NILE
fiction|action|PLAY4|CASH TRUCK
fiction|thriller|VRT CANVAS|LONG BRIGHT RIVER
sport|cycling (road)|EUROSPORT 1 (NL)|CYCL. TOUR DE ROMANDIE
lifestyle|consumer advice|VTM|MARKTKRAMERS
lifestyle|travel/tourism|VRT 1|MIJN EERSTE REIS
entertainment|music|VRT 1|HET GROTE SONGFESTIVALFEEST
entertainment|game|VRT 1|IK HEB HET U LETTERLIJK JUIST GEZEGD
fiction|action|VTM2|JACK REACHER, NEVER GO BACK
information|current affair|VTM|MOORDZAKEN, WETSDOKTERS
sport|football|VTM2|VB. C1 UEFA 1/2F - FC.BARCELONA/INT. MILAAN
sport|football|VTM2|VB. C1 UEFA 1/2F - ARSENAL/PARIS-ST-G.
knowledge|nature/environment|VRT 1|WILDLIFE
fiction|action|VTM|KUNG FU, HELDEN
lifestyle|home/decorating|PLAY4|HUIZENJAGERS
sport|cycling (road)|VRT 1|WIELRENNEN. LUIK-BASTENAKEN-LUIK D.
sport|cycling (road)|VRT 1|WIELRENNEN. LUIK-BASTENAKEN-LUIK H.
sport|football|DAZN PRO LEAGUE 1 (NL)|VB. JUPILER PRO LEAGUE - R. UNION ST.-G. - CLUB BRUGGE
sport|cycling (road)|VRT CANVAS|WIELRENNEN. LUIK-BASTENAKEN-LUIK H.
entertainment|game|VTM|CODE VAN COPPENS
fiction|action|PLAY4|BLACK ADAM
fiction|action|VTM2|ATOMIC BLONDE
entertainment|talk|VRT 1|GELUKKIG GESCHEIDEN
information|current affair|VRT 1|PANO
sport|cycling (road)|VRT 1|WIELRENNEN. WAALSE PIJL H.
sport|cycling (road)|VRT 1|WIELRENNEN. WAALSE PIJL D.
knowledge|human interest/society|VRT CANVAS|MIJN JEUGDRECHTER
entertainment|talk|VRT CANVAS|DE IDEALE WERELD
knowledge|science/geography|VRT CANVAS|THE SPACE SHUTTLE THAT FELL TO EARTH
information|current affair|VTM|ONDERZOEKSRECHTERS
sport|cycling (road)|VRT 1|WIELRENNEN. AMSTEL GOLD RACE H.
sport|cycling (road)|VRT 1|WIELRENNEN. AMSTEL GOLD RACE D.
lifestyle|pets|VRT 1|DIERENDOKTERS 24/7
fiction|police|PLAY5|FBI, INTERNATIONAL
entertainment|love/dating|VRT 1|FIRST DATES
fiction|fantasy/fairy tale|VTM2|THOR, LOVE AND THUNDER
lifestyle|cooking/food/drink|VTM|S.O.S. PIET XL
entertainment|variety|VTM|MAKE UP YOUR MIND
sport|cycling (road)|VRT 1|WIELRENNEN. BRABANTSE PIJL
lifestyle|travel/tourism|VRT CANVAS|NORTH SHORE
lifestyle|travel/tourism|VRT 1|EEN JAAR OP ZEE
lifestyle|travel/tourism|VRT 1|VLAANDEREN VAKANTIELAND
fiction|adventure|VTM3|A DOG'S WAY HOME
fiction|popular drama/comedy|VRT 1|KNOKKE OFF
information|current affair|VTM2|HELDEN VAN HIER, POLITIE OOSTENDE
sport|football|VTM2|VB. C1 UEFA 1/4F - R.MADRID/ARSENAL
entertainment|cooking/food/drink|PLAY4|CELEBRITY MASTERCHEF
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN LIMBURG
knowledge|miscellaneous|VRT 1|FACTCHECKERS
sport|football|VTM2|VB. C1 UEFA 1/4F - ASTON VILLA/PARIS-ST-G.
lifestyle|miscellaneous|VTM|DE VUILSTE JOBS VAN VLAANDEREN
knowledge|philosophy/religion|VRT CANVAS|JEHOVA, VAN GOD LOS
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-ROUBAIX H.
sport|football|DAZN PRO LEAGUE 1 (NL)|VB. JUPILER PRO LEAGUE - CLUB BRUGGE - KRC GENK
knowledge|human interest/society|VRT 1|DE INZICHTEN VAN...
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-ROUBAIX D.
entertainment|game|VTM|LEGO MASTERS
fiction|action|VTM2|BULLET TRAIN
knowledge|human interest/society|VRT CANVAS|OPGESLOTEN IN MEXICO
entertainment|love/dating|VRT 1|ADAM & EVA
fiction|popular drama/comedy|VRT 1|TYTGAT CHOCOLAT
knowledge|photo/film/cinema|VRT CANVAS|ROBERT DE NIRO, HIDING IN THE SPOTLIGHT
fiction|police|VRT 1|DE RIDDER
sport|cycling (road)|VRT 1|WIELRENNEN. SCHELDEPRIJS
sport|football|VTM2|VB. C1 UEFA 1/4F - FC.BARCELONA/DORTMUND
sport|football|VTM2|VB. C1 UEFA 1/4F - ARSENAL/R.MADRID
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN VLAANDEREN H.
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN VLAANDEREN D.
sport|formula 1|VRT 1|F1. WK. GP. JAPAN (S.)
sport|cycling (road)|VRT CANVAS|WIELRENNEN. RONDE VAN VLAANDEREN H.
fiction|thriller|VRT CANVAS|THE DAY OF THE JACKAL
sport|football|DAZN PRO LEAGUE 1 (NL)|VB. JUPILER PRO LEAGUE - RSC ANDERLECHT - KRC GENK
entertainment|game|VTM|WELKOM AAN BOORD
entertainment|variety|VRT 1|DE DROOMFABRIEK
entertainment|humour|VRT 1|LOSLOPEND WILD
entertainment|humour|VRT 1|MAN BIJT HOND
fiction|thriller|VRT CANVAS|STHLM REQUIEM
fiction|popular drama/comedy|VRT 1|#LIKEME
entertainment|reality|PLAY4|BIG BROTHER
information|current affair|VTM2|MR FRANK VISSER DOET UITSPRAAK
sport|cycling (road)|VRT 1|VIVE LE VELO, LEVE DE RONDE
sport|cycling (road)|VRT 1|WIELRENNEN. DWARS DOOR VLAANDEREN
fiction|popular drama/comedy|KETNET|#LIKEME
knowledge|human interest/society|VRT CANVAS|STEVE STEVAERT, DE SCHADUW VAN DE MACHT
fiction|thriller|PLAY4|DOOD SPOOR
lifestyle|show business/variety/stars|PLAY4|HET TESTAMENT VAN WILLY NAESSENS
sport|cycling (road)|VRT 1|WIELRENNEN. GENT-WEVELGEM H.
sport|cycling (road)|VRT 1|WIELRENNEN. GENT-WEVELGEM D.
entertainment|humour|VRT 1|OGEN DICHT EN FLUITEN
fiction|police|PLAY5|NAVY NCIS
sport|cycling (road)|VTM|WIELRENNEN. E3 SAXO BANK CLASSIC
fiction|psychologic drama/melodrama|VTM|THE GOOD DOCTOR
fiction|thriller|VRT CANVAS|WHITE OUT
information|current affair|VRT 1|DE DAG VAN VANDAAG
entertainment|talk|PLAY4|ZONDER STERREN
sport|cycling (road)|VRT 1|WIELRENNEN. CLASSIC BRUGGE-DE PANNE H.
sport|football|VTM|VB. NATIONS LEAGUE UEFA - BELGIE/OEKRAINE
entertainment|humour|VRT 1|TABOE
fiction|action|VTM2|PEARL HARBOR
sport|cycling (road)|VTM|WIELRENNEN. MILAAN-SAN REMO
entertainment|reality|VTM|EXPEDITIE GOORIS
fiction|action|VTM2|BAD BOYS FOR LIFE
sport|cycling (road)|VRT 1|WIELRENNEN. BREDENE KOKSIJDE CLASSIC
sport|football|VTM|VB. NATIONS LEAGUE UEFA - OEKRAINE/BELGIE
knowledge|humanities/history|VRT CANVAS|BELGEN IN OORLOG KOREA
lifestyle|show business/variety/stars|VTM|CAMPING COPPENS, HOME SWEDEN HOME
sport|cycling (road)|VRT 1|WIELRENNEN. NOKERE KOERSE H.
entertainment|music|VRT 1|ROB DE NIJS, VOOR HET LAATST
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 8 NICE>NICE
sport|formula 1|VRT 1|F1. WK. GP. AUSTRALIA (S.)
sport|handball|VRT 1|HANDBALL. EK. KWALIF H. - BELGIE/LUXEMBURG
fiction|police|PLAY5|FBI, MOST WANTED
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 7 NICE>AURON
fiction|thriller|VRT CANVAS|PROTECTION
fiction|science fiction|VTM2|MOONFALL
entertainment|music|VTM|LIFT YOU UP
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 6 SAINT-JULIEN-EN-SAINT-ALBAN>BERRE
lifestyle|show business/variety/stars|PLAY4|CHATEAU MEILAND EN ROUTE
lifestyle|travel/tourism|VTM2|EXPEDITIE GOORIS
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 5 SAINT-JUST-EN-CHEVALET>COTE-SAINT-
entertainment|talk|VRT 1|IK VRAAG HET AAN
sport|football|VTM2|VB. C1 UEFA 1/8F - ASTON VILLA/CL.BRUGGE
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 4 VICHY>LA LOGE DES GARDES
information|current affair|VRT CANVAS|THE ZELENSKY STORY
fiction|thriller|VRT 1|LOCKDOWN
sport|football|VTM2|VB. C1 UEFA 1/8F - LIVERPOOL/PARIS-ST-G.
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 2 MONTESSON>BELLEGARDE
lifestyle|show business/variety/stars|VTM|LIFE HAPPENS
fiction|science fiction|VRT 1|ARCADIA
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 1 LE PERRAY-EN-YVELINES>LE PERRAY-EN
sport|cycling (road)|VRT 1|WIELRENNEN. GP. JEAN-PIERRE MONSERE
sport|other sports|VTM2|LECOT BELGIAN DARTS OPEN-RONDE
information|current affair|PLAY4|HET PARKET
sport|cycling (road)|VRT 1|WIELRENNEN. STRADE BIANCHE
sport|cycling (road)|VRT CANVAS|WIELRENNEN. STRADE BIANCHE
fiction|popular soap|VRT 1|ZIE MIJ GRAAG
fiction|thriller|VTM3|UNHINGED
knowledge|medecin/health|VRT 1|LICHTPUNTJES TEGEN KANKER
lifestyle|home/decorating|VRT 1|THE REPAIR SHOP
fiction|police|VRT CANVAS|LINE OF DUTY
entertainment|game|VRT CANVAS|DE KROKUSQUIZ
sport|football|VTM2|VB. C1 UEFA 1/8F - PARIS-ST-G./LIVERPOOL
sport|football|VTM2|VB. C1 UEFA SCHIFT - CL.BRUGGE/ASTON VILLA
sport|cycling (road)|VRT 1|WIELRENNEN. GP. SAMYN H.
sport|cycling (road)|VRT 1|WIELRENNEN. GP. SAMYN D.
knowledge|nature/environment|VRT 1|HET HOGE NOORDEN
entertainment|game|PLAY4|DE EXPEDITIE, NAMIBIE
entertainment|game|VTM|BESTEMMING X
information|current affair|VTM|VREDERECHTERS
sport|cycling (road)|VRT 1|WIELRENNEN. KUURNE-BRUSSEL-KUURNE
sport|volleyball|VRT 1|VOLLEY. BB. FIN. H. - MENEN/ROESELARE
sport|volleyball|VRT 1|VOLLEY. BB. FIN. D. - BEVEREN/GENT
sport|cycling (road)|VRT 1|WIELRENNEN. OMLOOP HET NIEUWSBLAD H.
sport|cycling (road)|VRT 1|WIELRENNEN. OMLOOP HET NIEUWSBLAD D.
knowledge|humanities/history|VRT CANVAS|VAN GENT TOT DAMASCUS
knowledge|humanities/history|VRT CANVAS|LUDWIG
knowledge|human interest/society|VRT CANVAS|VOORBIJ DE SCHAAMTE
lifestyle|show business/variety/stars|VTM|EEN ECHTE JOB
entertainment|travel/tourism|VRT 1|DE RUGZAK
sport|cycling (cross)|VRT 1|VELDRIJDEN. OOSTMALLE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. OOSTMALLE D.
knowledge|humanities/history|VRT CANVAS|THE TATTOOIST OF AUSCHWITZ
fiction|thriller|VRT CANVAS|THOSE WHO KILL
fiction|action|VTM2|THE KING'S MAN
entertainment|game|VRT 1|DE HELDEN VAN ARNOUT
entertainment|game|VTM|BOER ZKT VROUW
sport|football|VRT CANVAS|VB. C3 UEFA SCHIFT - AJAX/UNION ST-GILLOISE
lifestyle|travel/tourism|VTM|SERGIO OVER DE GRENS
sport|football|VTM2|VB. C1 UEFA SCHIFT - R.MADRID/MANCHESTER C.
sport|football|VTM2|VB. C1 UEFA SCHIFT - ATALANTA/CL.BRUGGE
entertainment|music|PLAY4|JAMES, DE MUSICAL
sport|cycling (cross)|VRT 1|VELDRIJDEN. BRUSSEL H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. BRUSSEL D.
sport|cycling (track/piste)|VRT 1|BAANWIELRENNEN. EK. HEUSDEN-ZOLDER H.
lifestyle|show business/variety/stars|VTM2|BIJ ONS OP DE WALLEN
sport|cycling (cross)|VRT 1|VELDRIJDEN. SINT-NIKLAAS H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. SINT-NIKLAAS D.
entertainment|humour|PLAY4|SCHEIRE EN DE SCHEPPING
entertainment|talk|PLAY4|JAMES & CO
sport|football|VTM2|VB. C1 UEFA SCHIFT - CL.BRUGGE/ATALANTA
entertainment|talk|VRT 1|KUNNEN WE OVEREENKOMEN?
sport|football|VTM2|VB. C1 UEFA SCHIFT - MANCHESTER C./R.MADRID
sport|cycling (cross)|VRT 1|VELDRIJDEN. LILLE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. LILLE D.
entertainment|variety|VRT 1|KASTAARS!
entertainment|variety|VTM|KASTAARS!
sport|cycling (cross)|VRT 1|VELDRIJDEN. MIDDELKERKE (S.)
fiction|thriller|VTM2|THE MENU
sport|football|VTM2|VB. BB. 1/2F - ANTWERP/ANDERLECHT
fiction|police|VRT 1|PROFESSOR T.
sport|football|VRT CANVAS|VB. BB. 1/2F - GENK/CL.BRUGGE
entertainment|variety|VTM|DE GOUDEN SCHOEN
knowledge|humanities/history|VRT CANVAS|MOBUTU'S GAME
sport|cycling (cross)|VRT 1|VELDRIJDEN. WK. LIEVIN H. - ELITE
sport|cycling (cross)|VRT 1|VELDRIJDEN. WK. LIEVIN D. - BELOFTEN
fiction|police|PLAY5|FBI
sport|tennis|VRT 1|TENNIS. DAVIS CUP - BELGIE/CHILI
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. WK. LIEVIN H. - JUNIOREN
information|current affair|PLAY4|DE RECHTBANK
entertainment|music|VRT 1|EUROSONG
sport|cycling (cross)|VRT 1|VELDRIJDEN. WK. LIEVIN D. - ELITE
entertainment|game|VRT 1|WINWIN
entertainment|variety|VTM|DE 25
sport|cycling (cross)|VRT 1|VELDRIJDEN. WK. LIEVIN H. - BELOFTEN
fiction|action|VTM|THE HITMAN'S BODYGUARD
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. WK. LIEVIN H. - BELOFTEN
entertainment|music|VRT 1|MUSIC INDUSTRY AWARDS
sport|football|VTM2|VB. C1 UEFA SCHIFT - MANCHESTER C./CL.BRUGGE
sport|football|PLAY4|FC DE VOORZITTERS
knowledge|humanities/history|VRT CANVAS|AUSCHWITZ UNTOLD, IN COLOUR
knowledge|human interest/society|VRT 1|DE COLUMBUS
sport|cycling (cross)|VRT 1|DNA NYS
lifestyle|gardening|VTM|GOED GEPLANT
sport|cycling (cross)|VRT 1|VELDRIJDEN. WB. HOOGERHEIDE (S.)
sport|cycling (cross)|VRT 1|VELDRIJDEN. MAASMECHELEN H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. MAASMECHELEN D.
fiction|fantasy/fairy tale|VTM|GHOSTBUSTERS
fiction|thriller|VRT CANVAS|NIGHTSLEEPER
fiction|psychologic drama/melodrama|VRT 1|SOEUR SOURIRE
entertainment|variety|KETNET|HET GALA VAN DE GOUDEN K'S
entertainment|variety|VTM|DNA, DE ZAALSHOW
sport|football|VTM2|VB. C1 UEFA SCHIFT - PARIS-ST-G./MANCHESTER C.
sport|football|VTM2|VB. C1 UEFA SCHIFT - CL.BRUGGE/JUVENTUS
sport|cycling (cross)|VRT 1|VELDRIJDEN. BENIDORM (S.)
fiction|popular drama/comedy|VRT 1|DE WITTE VAN SICHEM
information|special event|VTM2|SCHIPOL AIRPORT
fiction|popular drama/comedy|VTM|TICKET TO PARADISE
fiction|adventure|VRT 1|OUT OF AFRICA
fiction|police|VRT CANVAS|MCDONALD & DODDS
entertainment|music|VTM|CLOUSEAU 40
fiction|action|VTM2|THE EQUALIZER
sport|football|VRT CANVAS|VB. BB. 1/2F - ANDERLECHT/ANTWERPEN
entertainment|variety|VTM|LIEVEN SCHEIRE, AI
sport|football|VTM2|VB. BB. 1/2F - CL.BRUGGE/GENK
sport|cycling (cross)|VRT 1|VELDRIJDEN. HEUSDEN-ZOLDER H.
entertainment|music|VRT 1|BART PEETERS DELUXE, DE VERJAARDAGSSPECIAL
sport|cycling (cross)|VRT 1|VELDRIJDEN. HEUSDEN-ZOLDER - BELOFTEN H.
sport|other sports|VRT 1|BILJART. BK. BLANKENBERGE
sport|all sports|VRT 1|SPORTGALA
fiction|psychologic drama/melodrama|VRT CANVAS|MARY & GEORGE
sport|football|DAZN PRO LEAGUE 1 (NL)|VB. JUPILER PRO LEAGUE - RSC ANDERLECHT - CLUB BRUGGE
sport|cycling (cross)|VRT 1|VELDRIJDEN. HEUSDEN-ZOLDER D.
sport|cycling (cross)|VRT 1|VELDRIJDEN. HEUSDEN-ZOLDER H. - JUNIOREN H.
fiction|popular drama/comedy|VRT 1|KOKO FLANEL
fiction|adventure|VTM|UNCHARTED
fiction|police|VRT CANVAS|LEWIS
knowledge|philosophy/religion|VRT CANVAS|LIBANON, PRIESTER PIERRE
fiction|action|VRT 1|NOW YOU SEE ME
fiction|thriller|VRT CANVAS|TROM
knowledge|human interest/society|VTM|MOORDZAKEN, EEUWIGE TWIJFEL?
sport|football|VTM2|VB. BB. 1/4F - BEERSCHOT/ANDERLECHT
sport|football|VRT CANVAS|VB. BB. 1/4F - ANTWERP/UNION ST-GILLOISE
sport|football|VTM2|VB. BB. 1/4F - CL.BRUGGE/LEUVEN
knowledge|human interest/society|VRT 1|VREDE OP AARDE
sport|cycling (cross)|VRT 1|VELDRIJDEN. DENDERMONDE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. DENDERMONDE D.
sport|all sports|VRT 1|SPORTJAAR 2024, BLINKENDE BELGEN
sport|basketball|VRT 1|BASKET. EK. 1/4F - ANTWERPEN/LIMBURG
entertainment|game|VTM2|TE LAND, TER ZEE EN IN DE LUCHT
fiction|popular drama/comedy|VRT 1|HECTOR
fiction|adventure|VTM|JUNGLE CRUISE
entertainment|humour|VRT CANVAS|XANDER DE RYCKE HOUDT HET VOOR BEKEKEN 2024
sport|cycling (cross)|VRT 1|VELDRIJDEN. GULLEGEM (S.)
knowledge|humanities/history|VRT CANVAS|KOUDE OORLOG
fiction|thriller|VTM3|UNLOCKED
entertainment|game|VRT 1|SWITCH
sport|cycling (cross)|VRT 1|VELDRIJDEN. KOKSIJDE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. KOKSIJDE D.
sport|other sports|VTM2|DARTS. WK
entertainment|music|VTM|DE TIEN OM TE ZIEN
knowledge|human interest/society|VRT CANVAS|MICHAEL PALIN IN NIGERIA
entertainment|variety|VTM|DAG & BEDANKT
fiction|popular drama/comedy|PLAY4|VERGEET BARBARA
entertainment|humour|VRT 1|KAMAL KHARMACH, MAG IK EVEN?
sport|cycling (cross)|VRT 1|VELDRIJDEN. GP. SVEN NYS H.
entertainment|classical arts|VRT 1|NIEUWJAARSCONCERT
sport|all sports|VRT 1|OVERZICHT PARALYMPISCHE SPELEN
entertainment|humour|PLAY4|ALEX AGNEW, WAKE ME UP WHEN IT'S OVER
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. GP. SVEN NYS D.
entertainment|music|VRT 1|NIGHT OF THE PROMS
entertainment|special event|VRT 1|VUURWERK
fiction|popular drama/comedy|VTM|HOME ALONE II
entertainment|music|VRT 1|#LIKEME, THE FINAL CONCERT
entertainment|music|VTM|Q POP
entertainment|variety|VTM|THE MASKED SINGER IN CONCERT
entertainment|music|VRT 1|RADIO 2
fiction|action|VTM2|BAD BOYS
knowledge|modern music/dance|VRT CANVAS|ABBA, AGAINST THE ODDS
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. DIEGEM H.
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. DIEGEM TURBOCROSS
entertainment|variety|VTM|DE FILM VAN HET JAAR
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. DIEGEM D.
fiction|popular drama/comedy|VRT 1|ONDER VUUR
entertainment|variety|VTM|HET CONCLAAF VAN 2024
entertainment|love/dating|VTM|BLIND GETROUWD, HET VIJFDE HUWELIJK
fiction|popular drama/comedy|VRT 1|DE COLLEGA'S
entertainment|variety|VTM|BESTEMMING X-MAS
knowledge|human interest/society|PLAY4|TRUE CRIME BELGIUM
fiction|popular drama/comedy|VTM|DE KOTMADAM
fiction|popular drama/comedy|VTM|DE FAMILIE CLAUS 3
information|special event|PLAY4|ACHTER DE SCHERMEN, DE EINDEJAARSSHOW
fiction|action|VTM3|2 GUNS
fiction|popular comedy|VTM|DE LUIZENMOEDER
sport|cycling (cross)|VRT 1|VELDRIJDEN. LOENHOUT H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. LOENHOUT D.
lifestyle|travel/tourism|VRT 1|ALLER RETOUR
entertainment|young amusement|PLAY4|TOM & JERRY
fiction|psychologic drama/melodrama|VTM|CLOSE
sport|cycling (cross)|VRT 1|VELDRIJDEN. GAVERE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. GAVERE D.
knowledge|nature/environment|VRT 1|ONZE NATUUR
fiction|fantasy/fairy tale|VTM2|BEAUTY AND THE BEAST
information|special event|VRT 1|DE WARMSTE WEEK
fiction|popular drama/comedy|VTM|SINGLE BELLS
fiction|popular comedy|VTM|HOME ALONE
fiction|adventure|VRT 1|NIGHT AT THE MUSEUM, SECRET OF THE TOMB
entertainment|music|VTM2|REGI, LIVE IN HET SPORTPALEIS
knowledge|modern music/dance|VRT CANVAS|WHAM, LAST CHRISTMAS UNWRAPPED
entertainment|music|VTM2|DUA LIPA, LIVE FROM THE ROYAL ALBERT HALL
lifestyle|cooking/food/drink|PLAY4|BAKE OFF VLAANDEREN
information|economy/politics/society affairs|VTM|BDW, POLITIEK BEEST
lifestyle|show business/variety/stars|PLAY4|DE VERHULSTJES
lifestyle|consumer advice|PLAY4|STUKKEN VAN MENSEN
